RXN_ID	EQUATION	SUBSYSTEM	Direction	EQUATION_LHS	EQUATION_RHS	Substrate_Set	Product_Set	Metabolite_Set	Substrate_Count	Product_Count	Metabolite_Count	Measured_Substrate	Measured_Product	Measured_Metabolite	Measured_Substrate_Count	Measured_Product_Count	Measured_Metabolite_Count
MAR04137	CoA + NAD+ + pyruvate => acetyl-CoA + CO2 + NADH	Glycolysis / Gluconeogenesis	1	CoA + NAD+ + pyruvate	acetyl-CoA + CO2 + NADH	{'NAD+', 'CoA', 'pyruvate'}	{'acetyl-CoA', 'CO2', 'NADH'}	{'NAD+', 'acetyl-CoA', 'NADH', 'pyruvate', 'CoA', 'CO2'}	3	3	6	{'pyruvate'}	set()	{'pyruvate'}	1	0	1
MAR04358	ADP + H+ + PEP => ATP + pyruvate	Glycolysis / Gluconeogenesis	1	ADP + H+ + PEP	ATP + pyruvate	{'H+', 'ADP', 'PEP'}	{'ATP', 'pyruvate'}	{'H+', 'pyruvate', 'ADP', 'ATP', 'PEP'}	3	2	5	set()	{'pyruvate'}	{'pyruvate'}	0	1	1
MAR04360	H2O + methylglyoxal + NADP+ => 2 H+ + NADPH + pyruvate	Glycolysis / Gluconeogenesis	1	H2O + methylglyoxal + NADP+	2 H+ + NADPH + pyruvate	{'NADP+', 'H2O', 'methylglyoxal'}	{'H+', 'pyruvate', 'NADPH'}	{'H+', 'NADPH', 'pyruvate', 'NADP+', 'H2O', 'methylglyoxal'}	3	3	6	set()	{'pyruvate'}	{'pyruvate'}	0	1	1
MAR04394	ATP + glucose => ADP + glucose-6-phosphate + H+	Glycolysis / Gluconeogenesis	1	ATP + glucose	ADP + glucose-6-phosphate + H+	{'glucose', 'ATP'}	{'H+', 'ADP', 'glucose-6-phosphate'}	{'H+', 'glucose', 'ADP', 'glucose-6-phosphate', 'ATP'}	2	3	5	{'glucose'}	set()	{'glucose'}	1	0	1
MAR04521	glucose-6-phosphate + H2O => glucose + Pi	Glycolysis / Gluconeogenesis	1	glucose-6-phosphate + H2O	glucose + Pi	{'glucose-6-phosphate', 'H2O'}	{'glucose', 'Pi'}	{'glucose', 'Pi', 'glucose-6-phosphate', 'H2O'}	2	2	4	set()	{'glucose'}	{'glucose'}	0	1	1
MAR06410	H+ + lipoamide + pyruvate => CO2 + S-acetyldihydrolipoamide	Glycolysis / Gluconeogenesis	1	H+ + lipoamide + pyruvate	CO2 + S-acetyldihydrolipoamide	{'H+', 'lipoamide', 'pyruvate'}	{'S-acetyldihydrolipoamide', 'CO2'}	{'H+', 'lipoamide', 'pyruvate', 'S-acetyldihydrolipoamide', 'CO2'}	3	2	5	{'pyruvate'}	set()	{'pyruvate'}	1	0	1
MAR07747	ADP + glucose => AMP + glucose-6-phosphate + H+	Glycolysis / Gluconeogenesis	1	ADP + glucose	AMP + glucose-6-phosphate + H+	{'glucose', 'ADP'}	{'H+', 'glucose-6-phosphate', 'AMP'}	{'H+', 'AMP', 'glucose', 'ADP', 'glucose-6-phosphate'}	2	3	5	{'glucose'}	set()	{'glucose'}	1	0	1
MAR08652	carbamoyl-phosphate + glucose => CO2 + glucose-6-phosphate + NH3	Glycolysis / Gluconeogenesis	1	carbamoyl-phosphate + glucose	CO2 + glucose-6-phosphate + NH3	{'glucose', 'carbamoyl-phosphate'}	{'glucose-6-phosphate', 'CO2', 'NH3'}	{'NH3', 'carbamoyl-phosphate', 'glucose', 'glucose-6-phosphate', 'CO2'}	2	3	5	{'glucose'}	set()	{'glucose'}	1	0	1
MAR03989	H2O + maltose => 2 glucose	Starch and sucrose metabolism	1	H2O + maltose	2 glucose	{'H2O', 'maltose'}	{'glucose'}	{'glucose', 'H2O', 'maltose'}	2	1	3	{'maltose'}	{'glucose'}	{'glucose', 'maltose'}	1	1	2
MAR04837	H2O + trehalose => 2 glucose	Starch and sucrose metabolism	1	H2O + trehalose	2 glucose	{'trehalose', 'H2O'}	{'glucose'}	{'glucose', 'trehalose', 'H2O'}	2	1	3	set()	{'glucose'}	{'glucose'}	0	1	1
MAR05400	glycogenin G7G1 + H2O => glucose + glycogenin G7	Starch and sucrose metabolism	1	glycogenin G7G1 + H2O	glucose + glycogenin G7	{'glycogenin G7G1', 'H2O'}	{'glucose', 'glycogenin G7'}	{'glucose', 'glycogenin G7G1', 'H2O', 'glycogenin G7'}	2	2	4	set()	{'glucose'}	{'glucose'}	0	1	1
